version_from,version_to,tag_from,tag_to,change_type,src_module,dst_module
1,2,0.115.6,0.115.7,edge_removed,docs_src.sql_databases_peewee.sql_app.main,docs_src.sql_databases_peewee.sql_app.database
1,2,0.115.6,0.115.7,edge_removed,docs_src.sql_databases_peewee.sql_app.main,fastapi
1,2,0.115.6,0.115.7,edge_removed,docs_src.sql_databases_peewee.sql_app.models,docs_src.sql_databases_peewee.sql_app.database
3,4,0.115.8,0.115.9,edge_removed,docs_src.query_params_str_validations.tutorial006b,fastapi
3,4,0.115.8,0.115.9,edge_removed,docs_src.query_params_str_validations.tutorial006b_an,fastapi
3,4,0.115.8,0.115.9,edge_removed,docs_src.query_params_str_validations.tutorial006b_an_py39,fastapi
3,4,0.115.8,0.115.9,edge_removed,docs_src.query_params_str_validations.tutorial006d,fastapi
3,4,0.115.8,0.115.9,edge_removed,docs_src.query_params_str_validations.tutorial006d_an,fastapi
3,4,0.115.8,0.115.9,edge_removed,docs_src.query_params_str_validations.tutorial006d_an_py39,fastapi
5,6,0.115.10,0.115.11,edge_added,docs_src.query_params_str_validations.tutorial015_an,fastapi
5,6,0.115.10,0.115.11,edge_added,docs_src.query_params_str_validations.tutorial015_an_py310,fastapi
5,6,0.115.10,0.115.11,edge_added,docs_src.query_params_str_validations.tutorial015_an_py39,fastapi
6,7,0.115.11,0.115.12,edge_added,docs_src.header_param_models.tutorial003,fastapi
6,7,0.115.11,0.115.12,edge_added,docs_src.header_param_models.tutorial003_an,fastapi
6,7,0.115.11,0.115.12,edge_added,docs_src.header_param_models.tutorial003_an_py310,fastapi
6,7,0.115.11,0.115.12,edge_added,docs_src.header_param_models.tutorial003_an_py39,fastapi
6,7,0.115.11,0.115.12,edge_added,docs_src.header_param_models.tutorial003_py310,fastapi
6,7,0.115.11,0.115.12,edge_added,docs_src.header_param_models.tutorial003_py39,fastapi
8,9,0.115.13,0.115.14,edge_added,fastapi.dependencies.utils,fastapi.types
11,12,0.116.1,0.116.2,edge_added,docs_src.app_testing.tutorial004,fastapi
11,12,0.116.1,0.116.2,edge_added,docs_src.app_testing.tutorial004,fastapi.testclient
11,12,0.116.1,0.116.2,edge_added,docs_src.behind_a_proxy.tutorial001_01,fastapi
14,15,0.117.1,0.118.0,edge_added,docs_src.dependencies.tutorial013_an_py310,fastapi
14,15,0.117.1,0.118.0,edge_added,docs_src.dependencies.tutorial013_an_py310,fastapi.responses
14,15,0.117.1,0.118.0,edge_added,docs_src.dependencies.tutorial014_an_py310,fastapi
14,15,0.117.1,0.118.0,edge_added,docs_src.dependencies.tutorial014_an_py310,fastapi.responses
14,15,0.117.1,0.118.0,edge_added,fastapi.applications,fastapi.middleware.asyncexitstack
18,19,0.118.3,0.119.0,edge_added,docs_src.pydantic_v1_in_v2.tutorial002_an,fastapi
18,19,0.118.3,0.119.0,edge_added,docs_src.pydantic_v1_in_v2.tutorial002_an_py310,fastapi
18,19,0.118.3,0.119.0,edge_added,docs_src.pydantic_v1_in_v2.tutorial003_an,fastapi
18,19,0.118.3,0.119.0,edge_added,docs_src.pydantic_v1_in_v2.tutorial003_an_py310,fastapi
18,19,0.118.3,0.119.0,edge_added,docs_src.pydantic_v1_in_v2.tutorial004_an,fastapi
18,19,0.118.3,0.119.0,edge_added,docs_src.pydantic_v1_in_v2.tutorial004_an,fastapi.temp_pydantic_v1_params
18,19,0.118.3,0.119.0,edge_added,docs_src.pydantic_v1_in_v2.tutorial004_an_py310,fastapi
18,19,0.118.3,0.119.0,edge_added,docs_src.pydantic_v1_in_v2.tutorial004_an_py310,fastapi.temp_pydantic_v1_params
18,19,0.118.3,0.119.0,edge_added,docs_src.pydantic_v1_in_v2.tutorial004_an_py39,fastapi
18,19,0.118.3,0.119.0,edge_added,docs_src.pydantic_v1_in_v2.tutorial004_an_py39,fastapi.temp_pydantic_v1_params
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.main,fastapi
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.main,fastapi._compat
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.main,fastapi._compat.model_field
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.main,fastapi._compat.shared
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.main,fastapi._compat.v1
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.main,fastapi._compat.v2
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.main,fastapi.types
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.model_field,fastapi.types
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.shared,fastapi._compat
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.shared,fastapi._compat.v1
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.shared,fastapi.types
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.v1,fastapi
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.v1,fastapi._compat
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.v1,fastapi._compat.shared
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.v1,fastapi.openapi.constants
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.v1,fastapi.params
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.v1,fastapi.types
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.v2,fastapi
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.v2,fastapi._compat
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.v2,fastapi._compat.shared
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.v2,fastapi._compat.v1
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.v2,fastapi.openapi.constants
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.v2,fastapi.params
18,19,0.118.3,0.119.0,edge_added,fastapi._compat.v2,fastapi.types
18,19,0.118.3,0.119.0,edge_added,fastapi.datastructures,fastapi._compat.v2
18,19,0.118.3,0.119.0,edge_added,fastapi.dependencies.utils,fastapi._compat.shared
18,19,0.118.3,0.119.0,edge_added,fastapi.dependencies.utils,fastapi._compat.v1
18,19,0.118.3,0.119.0,edge_added,fastapi.encoders,fastapi._compat.v1
18,19,0.118.3,0.119.0,edge_added,fastapi.routing,fastapi.temp_pydantic_v1_params
18,19,0.118.3,0.119.0,edge_added,fastapi.temp_pydantic_v1_params,fastapi._compat.shared
18,19,0.118.3,0.119.0,edge_added,fastapi.temp_pydantic_v1_params,fastapi._compat.v1
18,19,0.118.3,0.119.0,edge_added,fastapi.temp_pydantic_v1_params,fastapi.openapi.models
18,19,0.118.3,0.119.0,edge_added,fastapi.temp_pydantic_v1_params,fastapi.params
18,19,0.118.3,0.119.0,edge_added,fastapi.utils,fastapi._compat.v1
18,19,0.118.3,0.119.0,edge_added,fastapi.utils,fastapi._compat.v2
18,19,0.118.3,0.119.0,edge_removed,fastapi._compat,fastapi.exceptions
18,19,0.118.3,0.119.0,edge_removed,fastapi._compat,fastapi.openapi.constants
18,19,0.118.3,0.119.0,edge_removed,fastapi._compat,fastapi.params
18,19,0.118.3,0.119.0,edge_removed,fastapi._compat,fastapi.types
19,20,0.119.0,0.119.1,edge_added,fastapi._compat.main,fastapi._compat.may_v1
19,20,0.119.0,0.119.1,edge_added,fastapi._compat.may_v1,fastapi._compat.v1
19,20,0.119.0,0.119.1,edge_added,fastapi._compat.may_v1,fastapi._compat.v2
19,20,0.119.0,0.119.1,edge_added,fastapi._compat.may_v1,fastapi.types
19,20,0.119.0,0.119.1,edge_added,fastapi._compat.shared,fastapi._compat.may_v1
19,20,0.119.0,0.119.1,edge_added,fastapi._compat.v2,fastapi._compat.may_v1
19,20,0.119.0,0.119.1,edge_added,fastapi.dependencies.utils,fastapi._compat.may_v1
19,20,0.119.0,0.119.1,edge_added,fastapi.encoders,fastapi._compat.may_v1
19,20,0.119.0,0.119.1,edge_added,fastapi.temp_pydantic_v1_params,fastapi._compat.may_v1
19,20,0.119.0,0.119.1,edge_added,fastapi.utils,fastapi._compat.may_v1
19,20,0.119.0,0.119.1,edge_removed,fastapi._compat.shared,fastapi._compat.v1
19,20,0.119.0,0.119.1,edge_removed,fastapi._compat.v2,fastapi._compat.v1
19,20,0.119.0,0.119.1,edge_removed,fastapi.dependencies.utils,fastapi._compat.v1
19,20,0.119.0,0.119.1,edge_removed,fastapi.encoders,fastapi._compat.v1
19,20,0.119.0,0.119.1,edge_removed,fastapi.temp_pydantic_v1_params,fastapi._compat.v1
